"","station_id","stationname","daytype","rides","date"
"26561",40390,"Forest Park","W",3329,2018-05-11
"26566",40390,"Forest Park","W",3472,2018-05-10
"26818",40390,"Forest Park","A",1499,2018-05-12
"26882",40390,"Forest Park","U",1141,2018-04-08
"27054",40390,"Forest Park","W",3353,2018-04-17
"27073",40390,"Forest Park","W",3579,2018-04-26
"27303",40390,"Forest Park","W",3440,2018-05-02
"27384",40390,"Forest Park","U",1440,2018-06-10
"27413",40390,"Forest Park","W",3468,2018-06-01
"27515",40390,"Forest Park","U",1358,2018-06-17
"27661",40390,"Forest Park","W",3338,2018-04-30
"27717",40390,"Forest Park","W",3488,2018-05-08
"27994",40390,"Forest Park","W",3354,2018-06-25
"28039",40390,"Forest Park","W",3579,2018-04-11
"28208",40390,"Forest Park","W",3512,2018-06-28
"28268",40390,"Forest Park","A",1569,2018-05-19
"28388",40390,"Forest Park","W",3387,2018-06-26
"28415",40390,"Forest Park","U",1221,2018-05-20
"28566",40390,"Forest Park","W",3203,2018-06-18
"28646",40390,"Forest Park","W",3297,2018-04-03
"29186",40390,"Forest Park","A",1668,2018-06-02
"30031",40390,"Forest Park","W",3346,2018-05-04
"30425",40390,"Forest Park","W",3448,2018-06-12
"31777",40390,"Forest Park","U",1296,2018-07-01
"31778",40390,"Forest Park","W",3250,2018-07-02
"31779",40390,"Forest Park","W",3323,2018-07-03
"31780",40390,"Forest Park","U",1546,2018-07-04
"31781",40390,"Forest Park","W",2708,2018-07-05
"31782",40390,"Forest Park","W",3266,2018-07-06
"31783",40390,"Forest Park","A",1791,2018-07-07
"31784",40390,"Forest Park","U",1429,2018-07-08
"31785",40390,"Forest Park","W",3266,2018-07-09
"31786",40390,"Forest Park","W",3489,2018-07-10
"31787",40390,"Forest Park","W",3776,2018-07-11
"31788",40390,"Forest Park","W",3576,2018-07-12
"31789",40390,"Forest Park","W",3638,2018-07-13
"31790",40390,"Forest Park","A",1895,2018-07-14
"31791",40390,"Forest Park","U",1609,2018-07-15
"31792",40390,"Forest Park","W",3363,2018-07-16
"31793",40390,"Forest Park","W",3586,2018-07-17
"31794",40390,"Forest Park","W",3585,2018-07-18
"31795",40390,"Forest Park","W",3537,2018-07-19
"31796",40390,"Forest Park","W",3333,2018-07-20
"31797",40390,"Forest Park","A",1868,2018-07-21
"31798",40390,"Forest Park","U",1381,2018-07-22
"31799",40390,"Forest Park","W",3349,2018-07-23
"31800",40390,"Forest Park","W",3526,2018-07-24
"31801",40390,"Forest Park","W",3573,2018-07-25
"31802",40390,"Forest Park","W",3543,2018-07-26
"31803",40390,"Forest Park","W",3274,2018-07-27
"31804",40390,"Forest Park","A",1749,2018-07-28
"31805",40390,"Forest Park","U",1395,2018-07-29
"31806",40390,"Forest Park","W",3263,2018-07-30
"31807",40390,"Forest Park","W",3317,2018-07-31
"36251",40390,"Forest Park","W",3469,2018-08-01
"36252",40390,"Forest Park","W",3902,2018-08-02
"36253",40390,"Forest Park","W",3805,2018-08-03
"36254",40390,"Forest Park","A",2120,2018-08-04
"36255",40390,"Forest Park","U",1718,2018-08-05
"36256",40390,"Forest Park","W",3159,2018-08-06
"36257",40390,"Forest Park","W",3394,2018-08-07
"36258",40390,"Forest Park","W",3517,2018-08-08
"36259",40390,"Forest Park","W",3353,2018-08-09
"36260",40390,"Forest Park","W",3357,2018-08-10
"36261",40390,"Forest Park","A",1811,2018-08-11
"36262",40390,"Forest Park","U",1417,2018-08-12
"36263",40390,"Forest Park","W",3194,2018-08-13
"36264",40390,"Forest Park","W",3439,2018-08-14
"36265",40390,"Forest Park","W",3359,2018-08-15
"36266",40390,"Forest Park","W",3287,2018-08-16
"36267",40390,"Forest Park","W",3335,2018-08-17
"36268",40390,"Forest Park","A",1829,2018-08-18
"36269",40390,"Forest Park","U",1429,2018-08-19
"36270",40390,"Forest Park","W",3142,2018-08-20
"36271",40390,"Forest Park","W",3225,2018-08-21
"36272",40390,"Forest Park","W",3450,2018-08-22
"36273",40390,"Forest Park","W",3421,2018-08-23
"36274",40390,"Forest Park","W",3228,2018-08-24
"36275",40390,"Forest Park","A",1771,2018-08-25
"36276",40390,"Forest Park","U",1484,2018-08-26
"36277",40390,"Forest Park","W",3435,2018-08-27
"36278",40390,"Forest Park","W",3527,2018-08-28
"36279",40390,"Forest Park","W",3510,2018-08-29
"36280",40390,"Forest Park","W",3729,2018-08-30
"36281",40390,"Forest Park","W",3350,2018-08-31
"40678",40390,"Forest Park","A",1554,2018-09-01
"40679",40390,"Forest Park","U",1367,2018-09-02
"40680",40390,"Forest Park","U",1118,2018-09-03
"40681",40390,"Forest Park","W",3490,2018-09-04
"40682",40390,"Forest Park","W",3708,2018-09-05
"40683",40390,"Forest Park","W",3643,2018-09-06
"40684",40390,"Forest Park","W",3581,2018-09-07
"40685",40390,"Forest Park","A",1661,2018-09-08
"40686",40390,"Forest Park","U",1257,2018-09-09
"40687",40390,"Forest Park","W",3614,2018-09-10
"40688",40390,"Forest Park","W",3754,2018-09-11
"40689",40390,"Forest Park","W",3936,2018-09-12
"40690",40390,"Forest Park","W",3783,2018-09-13
"40691",40390,"Forest Park","W",3768,2018-09-14
"40692",40390,"Forest Park","A",1879,2018-09-15
"40693",40390,"Forest Park","U",1418,2018-09-16
"40694",40390,"Forest Park","W",3650,2018-09-17
"40695",40390,"Forest Park","W",3745,2018-09-18
"40696",40390,"Forest Park","W",3826,2018-09-19
"40697",40390,"Forest Park","W",3709,2018-09-20
"40698",40390,"Forest Park","W",3549,2018-09-21
"40699",40390,"Forest Park","A",1685,2018-09-22
"40700",40390,"Forest Park","U",1313,2018-09-23
"40701",40390,"Forest Park","W",3633,2018-09-24
"40702",40390,"Forest Park","W",3737,2018-09-25
"40703",40390,"Forest Park","W",3886,2018-09-26
"40704",40390,"Forest Park","W",3806,2018-09-27
"40705",40390,"Forest Park","W",3547,2018-09-28
"40706",40390,"Forest Park","A",1694,2018-09-29
"40707",40390,"Forest Park","U",1308,2018-09-30
"45049",40390,"Forest Park","W",3665,2018-10-01
"45050",40390,"Forest Park","W",3901,2018-10-02
"45051",40390,"Forest Park","W",3827,2018-10-03
"45052",40390,"Forest Park","W",3820,2018-10-04
"45053",40390,"Forest Park","W",3350,2018-10-05
"45054",40390,"Forest Park","A",1601,2018-10-06
"45055",40390,"Forest Park","U",1690,2018-10-07
"45056",40390,"Forest Park","W",3024,2018-10-08
"45057",40390,"Forest Park","W",3759,2018-10-09
"45058",40390,"Forest Park","W",3707,2018-10-10
"45059",40390,"Forest Park","W",3685,2018-10-11
"45060",40390,"Forest Park","W",3320,2018-10-12
"45061",40390,"Forest Park","A",1537,2018-10-13
"45062",40390,"Forest Park","U",1172,2018-10-14
"45063",40390,"Forest Park","W",3529,2018-10-15
"45064",40390,"Forest Park","W",3736,2018-10-16
"45065",40390,"Forest Park","W",3764,2018-10-17
"45066",40390,"Forest Park","W",3669,2018-10-18
"45067",40390,"Forest Park","W",3368,2018-10-19
"45068",40390,"Forest Park","A",1433,2018-10-20
"45069",40390,"Forest Park","U",1169,2018-10-21
"45070",40390,"Forest Park","W",3577,2018-10-22
"45071",40390,"Forest Park","W",3770,2018-10-23
"45072",40390,"Forest Park","W",3691,2018-10-24
"45073",40390,"Forest Park","W",3932,2018-10-25
"45074",40390,"Forest Park","W",3460,2018-10-26
"45075",40390,"Forest Park","A",1549,2018-10-27
"45076",40390,"Forest Park","U",1218,2018-10-28
"45077",40390,"Forest Park","W",3566,2018-10-29
"45078",40390,"Forest Park","W",3700,2018-10-30
"45079",40390,"Forest Park","W",3621,2018-10-31
"49389",40390,"Forest Park","W",3682,2018-11-01
"49390",40390,"Forest Park","W",3445,2018-11-02
"49391",40390,"Forest Park","A",1494,2018-11-03
